Title,Genre,Runtime,imdbRating,Year
The Expendables,"Action, Adventure, Thriller",103,6.5,2010
The Rock,"Action, Adventure, Thriller",136,7.4,1996
Grid,"Action, Adventure, War",45,5.7,2013
Lariats and Six-Shooters,"Action, Adventure, Western",55,3.8,1931
The Sheriff of Medicine Bow,"Action, Adventure, Western",55,5.3,1948
Texas Wildcats,"Action, Adventure, Western",57,5.2,1939
When a Man Sees Red,"Action, Adventure, Western",60,4.8,1934
The Lone Ranger,"Action, Adventure, Western",149,6.5,2013
Jack Strong,"Action, Biography, Crime",128,7.2,2014
The Singer,"Action, Biography, Drama",90,6.9,1978
"Faster, Pussycat! Kill! Kill!","Action, Comedy",83,6.8,1965
Lao shu jie,"Action, Comedy",85,5.8,1981
Fox Hunt,"Action, Comedy",95,5.7,1996
McHale's Navy,"Action, Comedy",108,4.3,1997
Donga Police,"Action, Comedy",130,6.7,1992
The Saint in London,"Action, Comedy, Crime",72,6.4,1939
Santo contra Capulina,"Action, Comedy, Crime",80,6.6,1969
Jackpot,"Action, Comedy, Crime",90,6.6,2011
Concrete Blondes,"Action, Comedy, Crime",92,4.7,2013
Gunmen,"Action, Comedy, Crime",94,5.2,1993
Rivers 9,"Action, Comedy, Crime",95,4.2,2015
The Squeeze,"Action, Comedy, Crime",101,4.5,1987
Konsul,"Action, Comedy, Crime",104,7.2,1989
"Big Mommas: Like Father, Like Son","Action, Comedy, Crime",107,4.3,2011
Bang Boom Bang - Ein todsicheres Ding,"Action, Comedy, Crime",110,7.7,1999
Song 'e Napule,"Action, Comedy, Crime",114,7,2013
Metro,"Action, Comedy, Crime",117,5.5,1997
The Boondock Saints II: All Saints Day,"Action, Comedy, Crime",118,6.4,2009
The Green Hornet,"Action, Comedy, Crime",119,5.9,2011
Midnight Run,"Action, Comedy, Crime",126,7.6,1988
Duplicate,"Action, Comedy, Crime",164,5.4,1998
The Water Game,"Action, Comedy, Drama",106,5.2,2002
The Spy Next Door,"Action, Comedy, Family",94,5.4,2010
Firehouse Dog,"Action, Comedy, Family",111,5.5,2007
Long fa wei,"Action, Comedy, Fantasy",94,6.9,1981
Lastikman,"Action, Comedy, Fantasy",105,6.3,2003
Wu long tian shi zhao ji gui,"Action, Comedy, Horror",80,5.2,1981
Joan of Ozark,"Action, Comedy, Music",82,5.5,1942
Dispatched,"Action, Comedy, Romance",89,7.1,2014
Helden und andere Feiglinge,"Action, Comedy, Romance",96,3.9,1998
Hit and Run,"Action, Comedy, Romance",100,6.1,2012
This Means War,"Action, Comedy, Romance",103,6.4,2012
Sunday,"Action, Comedy, Romance",135,5.3,2008
Cyber-C.H.I.C.,"Action, Comedy, Sci-Fi",102,2.4,1990
Coldblooded,"Action, Comedy, Thriller",92,6.8,1995
Hot Guys with Guns,"Action, Comedy, Thriller",105,5.3,2013
Bad Tara,"Action, Crime",72,6.6,2012
Hito-kiri Yota: Kyoken San-kyodai,"Action, Crime",86,6.7,1972
Chow Kit,"Action, Crime",90,6.1,2012
Force of Execution,"Action, Crime",99,4.6,2013
Un camorrista perbene,"Action, Crime",100,3.8,2010
Aelan,"Action, Crime",105,3.2,1989
Rip Roaring Riley,"Action, Crime, Drama",55,4.6,1935
The Drag-Net,"Action, Crime, Drama",61,5.8,1936
Phantom of Chinatown,"Action, Crime, Drama",62,6.2,1940
The Traitor Within,"Action, Crime, Drama",62,6,1942
Mercy Plane,"Action, Crime, Drama",72,4.8,1939
Amatieris,"Action, Crime, Drama",75,6.7,2008
The Hawk's Nest,"Action, Crime, Drama",80,3.9,1928
Game of Death,"Action, Crime, Drama",85,6.1,1978
Ninja,"Action, Crime, Drama",86,5.5,2009
For My Brother,"Action, Crime, Drama",87,7.3,2011
Lolo,"Action, Crime, Drama",88,6.7,1993
Kite,"Action, Crime, Drama",90,4.3,2014
Dead Man Running,"Action, Crime, Drama",92,6,2009
In Dangerous Company,"Action, Crime, Drama",92,3.7,1988
Wild Card,"Action, Crime, Drama",92,5.6,2015
Breaking Point,"Action, Crime, Drama",93,4.8,2009
Death Wish,"Action, Crime, Drama",93,7,1974
Catch .44,"Action, Crime, Drama",94,4.6,2011
A Time to Die,"Action, Crime, Drama",95,4.5,1991
Born to Fight,"Action, Crime, Drama",96,6.2,2004
Harley Davidson and the Marlboro Man,"Action, Crime, Drama",98,5.9,1991
Black Point,"Action, Crime, Drama",100,5.3,2002
Mil caminos tiene la muerte,"Action, Crime, Drama",100,5.6,1977
Redemption,"Action, Crime, Drama",100,6.2,2013
Cradle 2 the Grave,"Action, Crime, Drama",101,5.8,2003
Hollywood Cop,"Action, Crime, Drama",101,4.3,1987
Unleashed,"Action, Crime, Drama",103,7,2005
Wanted: Dead or Alive,"Action, Crime, Drama",106,5.9,1987
No Way Out,"Action, Crime, Drama",114,7.1,1987
Sicak,"Action, Crime, Drama",123,5.1,2008
Swiri,"Action, Crime, Drama",125,6.7,1999
Race,"Action, Crime, Drama",149,6.6,2008
Parinda,"Action, Crime, Drama",154,7.9,1989
David,"Action, Crime, Drama",155,6.2,2013
Kurbaan,"Action, Crime, Drama",161,5.7,2009
Kala Bazar,"Action, Crime, Drama",163,7.1,1960
The Spirit,"Action, Crime, Fantasy",103,4.8,2008
Wanted,"Action, Crime, Fantasy",110,6.7,2008
The Majorettes,"Action, Crime, Horror",92,4.1,1987
The Golden Web,"Action, Crime, Mystery",64,3.6,1926
Marked Men,"Action, Crime, Mystery",66,5.9,1940
Marked Men,"Action, Crime, Mystery",66,5.9,1940
Rampage,"Action, Crime, Thriller",85,6.3,2009
Crash Landing,"Action, Crime, Thriller",88,3.7,2005
Saang gong kei bing II,"Action, Crime, Thriller",88,7,1987
Transit,"Action, Crime, Thriller",88,5.8,2012
Rage,"Action, Crime, Thriller",92,5,2014
Sahara Cross,"Action, Crime, Thriller",97,6.7,1977
War,"Action, Crime, Thriller",103,6.3,2007
War,"Action, Crime, Thriller",103,6.3,2007
Machete,"Action, Crime, Thriller",105,6.7,2010
Spy Game,"Action, Crime, Thriller",126,7,2001
Fast & Furious 6,"Action, Crime, Thriller",130,7.2,2013
Baby,"Action, Crime, Thriller",159,8.2,2015
Calling All Marines,"Action, Drama",67,5.6,1939
Hai tiin yakuza,"Action, Drama",73,4.5,1962
Skarb kapitana Martensa,"Action, Drama",73,4.4,1957
Eye for Eye,"Action, Drama",79,3.4,2008
The Girls from Thunder Strip,"Action, Drama",80,5.5,1970
Dilemma,"Action, Drama",83,3.6,1997
Hammer Down,"Action, Drama",83,3.9,1992
White Fury,"Action, Drama",84,2.7,1990
"The New South Hand Blows, North Kick Blows","Action, Drama",88,3.3,1981
"The New South Hand Blows, North Kick Blows","Action, Drama",88,3.3,1981
Bury Me an Angel,"Action, Drama",89,5.8,1972
Icebreaker,"Action, Drama",90,4.2,2000
Parts of Disease,"Action, Drama",90,6.8,2013
Road to Revenge,"Action, Drama",90,5.3,1993
Shou zhi ao chu,"Action, Drama",90,6.9,1981
Qi mian ren,"Action, Drama",92,6.7,1975
Poniedzialek,"Action, Drama",93,5.8,1998
Blood Brothers,"Action, Drama",95,5.6,2007
Lethal Ninja,"Action, Drama",97,3.2,1992
Po jie,"Action, Drama",98,7,1977
Kahit buhay ko...,"Action, Drama",100,4,1992
Winning Streak,"Action, Drama",100,5.3,2012
Il tempo degli assassini,"Action, Drama",102,5.6,1975
The Lost Idol,"Action, Drama",103,3.3,1989
Drum,"Action, Drama",110,5.2,1976
Silmido,"Action, Drama",135,7.2,2003
Gaayam,"Action, Drama",140,7.2,1993
Temper,"Action, Drama",147,7.5,2015
Mugamoodi,"Action, Drama",150,5,2012
Rebel,"Action, Drama",168,4.2,2012
Ziddi,"Action, Drama",170,5.6,1997
Never Too Young to Die,"Action, Drama, Adventure",92,4.8,1986
Rolling Thunder,"Action, Drama, Crime",95,7.1,1977
La pandilla infernal,"Action, Drama, Crime",98,6,1987
Perfect Creature,"Action, Drama, Fantasy",90,5.5,2006
The Promise,"Action, Drama, Fantasy",121,5.6,2005
Cavalcade of the West,"Action, Drama, History",59,5.1,1936
Defenders of Riga,"Action, Drama, History",118,7,2007
Son Mektup,"Action, Drama, History",122,4.3,2015
Waterloo,"Action, Drama, History",123,7.3,1970
The Warrior,"Action, Drama, History",158,7.2,2001
The Patriot,"Action, Drama, History",165,7.1,2000
Karnan,"Action, Drama, History",177,7.4,1964
Check Your Guns,"Action, Drama, Music",55,6.3,1948
Stunt Rock,"Action, Drama, Music",86,5.4,1980
Platteland,"Action, Drama, Music",120,6.2,2011
The Trial of Billy Jack,"Action, Drama, Music",170,4.6,1974
Deadly Closure,"Action, Drama, Mystery",100,2.4,2010
The Crooked Trail,"Action, Drama, Romance",60,5.4,1936
Navy Bound,"Action, Drama, Romance",61,5.2,1951
Ridin' Law,"Action, Drama, Romance",63,6.3,1930
Westbound,"Action, Drama, Romance",72,6.6,1959
Play Time,"Action, Drama, Romance",90,6.3,1994
E nan,"Action, Drama, Romance",105,6.2,1986
Kalishankar,"Action, Drama, Romance",145,3.2,2007
Real Steel,"Action, Drama, Sci-Fi",127,7.1,2011
Thunder Island,"Action, Drama, Thriller",65,5.6,1963
Kunduz: The Incident at Hadji Ghafur,"Action, Drama, Thriller",75,5.6,2012
The Last Ride,"Action, Drama, Thriller",84,5.2,2004
Tokyo Fist,"Action, Drama, Thriller",87,7.2,1995
The Killing Machine,"Action, Drama, Thriller",88,5.2,2010
Nitro,"Action, Drama, Thriller",90,5.5,2007
Unholy Matrimony,"Action, Drama, Thriller",94,6.1,1988
Camino al infierno,"Action, Drama, Thriller",98,3.2,1987
Crosscut,"Action, Drama, Thriller",98,5.7,1996
San Andreas,"Action, Drama, Thriller",114,6.2,2015
Baasha,"Action, Drama, Thriller",145,8.3,1995
Going Back,"Action, Drama, War",113,5.4,2001
The Raiders,"Action, Drama, Western",75,5.4,1963
Odia il prossimo tuo,"Action, Drama, Western",88,4.9,1968
Gwicheondo,"Action, Fantasy",96,4,1996
Sorceress,"Action, Fantasy, Adventure",83,3.9,1982
The Nebula Dawn,"Action, Fantasy, Horror",54,4.6,2006
Santo vs. las lobas,"Action, Fantasy, Horror",85,6.4,1976
Gabriel,"Action, Fantasy, Horror",114,5.7,2007
The Jet Movie,"Action, Fantasy, Sci-Fi",94,6.7,2012
Hell's Half Acre,"Action, Film-Noir, Mystery",90,6.3,1954
The Swordsman,"Action, History, Romance",120,7.1,1990
Hotel Inferno,"Action, Horror",80,4.5,2013
The 8th Plague,"Action, Horror",90,4.2,2006
Reptilicus,"Action, Horror, Sci-Fi",82,4.1,1961
The Control Group,"Action, Horror, Sci-Fi",84,6.1,2014
Outpost,"Action, Horror, Sci-Fi",90,5.9,2007
Outpost,"Action, Horror, Sci-Fi",90,5.9,2007
Lake Placid vs. Anaconda,"Action, Horror, Sci-Fi",92,3.6,2015
Across the Sierras,"Action, Music, Romance",59,5.2,1941
The Wildcat of Tucson,"Action, Music, Western",59,7,1940
Dark Before Dawn,"Action, Mystery",95,4.1,1988
Secuestro,"Action, Mystery, Thriller",94,5.5,2005
Solid Cover,"Action, Mystery, Thriller",97,4.6,2000
The Big Bang,"Action, Mystery, Thriller",101,5.5,2010
Escape Plan,"Action, Mystery, Thriller",115,6.8,2013
Eagle Eye,"Action, Mystery, Thriller",118,6.6,2008
