Title,Genre,Runtime,imdbRating,Year
Connemara,"Adventure, History",98,4.1,1990
"Yaroslavna, koroleva Frantsii","Adventure, History",98,6.8,1978
"Yaroslavna, koroleva Frantsii","Adventure, History",98,6.8,1978
Drums of Destiny,"Adventure, History, Romance",62,6.9,1937
The Deluge,"Adventure, History, Romance",315,7.9,1974
Creature from the Black Lagoon,"Adventure, Horror, Sci-Fi",79,7,1954
Profanadores de tumbas,"Adventure, Horror, Sci-Fi",85,5.3,1966
The Capture of Bigfoot,"Adventure, Horror, Sci-Fi",92,2.4,1979
Dr Liebenstein,"Adventure, Horror, Thriller",97,6.1,2014
RangiTaranga,"Adventure, Music, Mystery",149,9.2,2015
Huckleberry Finn,"Adventure, Musical",118,5.3,1974
London Road,"Adventure, Musical, Mystery",91,5.8,2015
Woody Island,"Adventure, Mystery, Thriller",76,7.6,2010
Kapax del Amazonas,"Adventure, Romance",92,4.7,1982
Lost: Black Earth,"Adventure, Sci-Fi",48,4.5,2004
Cat-Women of the Moon,"Adventure, Sci-Fi",64,3.6,1953
Ice,"Adventure, Sci-Fi, Thriller",93,5,1998
The Last Days,"Adventure, Sci-Fi, Thriller",100,6.1,2013
The Deep Below,"Adventure, Thriller",85,4.3,2007
Strange Gamble,"Adventure, Western",61,7.2,1948
Comanche Territory,"Adventure, Western",76,5.5,1950
Beartooth,"Adventure, Western",86,5.5,1978
Incident at Phantom Hill,"Adventure, Western",88,6.1,1966
Carne de horca,"Adventure, Western",93,6.9,1953
Sourdough,"Adventure, Western",94,7.5,1981
The Oscar Nominated Short Films 2015: Animation,Animation,47,7.3,2015
Ich bin 3 Kirschkuchen!,Animation,75,6.8,2008
"Janosch: Komm, wir finden einen Schatz",Animation,75,5.4,2012
La table tournante,Animation,80,7.1,1988
Khan kluay 2,Animation,95,6.3,2009
Tokyo Onlypic 2008,Animation,137,6.4,2008
My Friend Ganesha,Animation,190,4.7,2007
Baton,"Animation, Action",60,6.2,2009
Bayonetta: Bloody Fate,"Animation, Action",90,5.8,2013
Batman: Mask of the Phantasm,"Animation, Action, Adventure",76,7.9,1993
We Are the Strange,"Animation, Action, Adventure",88,5.5,2007
Titan A.E.,"Animation, Action, Adventure",94,6.6,2000
Big Hero 6,"Animation, Action, Adventure",102,7.9,2014
The Gnomes Great Adventure,"Animation, Adventure, Comedy",74,5.7,1995
Dex Hamilton and the Doomsday Swarm,"Animation, Adventure, Comedy",76,5,2012
Jake's Booty Call,"Animation, Adventure, Comedy",77,4.2,2003
Doogal,"Animation, Adventure, Comedy",78,2.8,2006
Chicken Little,"Animation, Adventure, Comedy",81,5.8,2005
Dreamworks Spooky Stories,"Animation, Adventure, Comedy",84,6.9,2012
Hot Dogs: Wau - wir sind reich!,"Animation, Adventure, Comedy",84,5.3,1999
The Simpsons Movie,"Animation, Adventure, Comedy",87,7.4,2007
Alpha and Omega,"Animation, Adventure, Comedy",90,5.3,2010
Puss in Boots,"Animation, Adventure, Comedy",90,6.7,2011
Shark Tale,"Animation, Adventure, Comedy",90,6,2004
Hercules,"Animation, Adventure, Comedy",93,7.2,1997
Shrek the Third,"Animation, Adventure, Comedy",93,6,2007
A Bug's Life,"Animation, Adventure, Comedy",95,7.2,1998
Mind Game,"Animation, Adventure, Comedy",103,8,2004
Kuiba,"Animation, Adventure, Drama",90,6.7,2011
Rudolph the Red-Nosed Reindeer: The Movie,"Animation, Adventure, Family",83,5.7,1998
The BFG,"Animation, Adventure, Family",87,6.6,1989
Porwanie w Tiutiurlistanie,"Animation, Adventure, Family",90,6.9,1986
The Adventure of Sudsakorn,"Animation, Adventure, Fantasy",82,5.6,1979
Freddie as F.R.O.7.,"Animation, Adventure, Fantasy",90,5,1992
The Nine Lives of Fritz the Cat,"Animation, Comedy",77,5.4,1974
McDullŒ‡The Pork of Music,"Animation, Comedy",79,6.8,2012
Dante's Inferno,"Animation, Comedy",88,6.6,2007
Emma Mae Street Hood,"Animation, Comedy, Crime",80,5.6,2010
Rocks in My Pockets,"Animation, Comedy, Drama",88,7.5,2014
Arthur Christmas,"Animation, Comedy, Drama",97,7.1,2011
Surf's Up,"Animation, Comedy, Family",85,6.8,2007
Minions,"Animation, Comedy, Family",91,6.6,2015
Tangled,"Animation, Comedy, Family",100,7.8,2010
Tangled,"Animation, Comedy, Family",100,7.8,2010
Sita Sings the Blues,"Animation, Comedy, Fantasy",82,7.7,2008
Where the Dead Go to Die,"Animation, Crime, Drama",95,4.5,2012
Film Noir,"Animation, Crime, Mystery",97,6.5,2007
Im Anfang war der Blick,"Animation, Drama",45,7.5,2003
A Christmas Carol,"Animation, Drama, Family",96,6.8,2009
The Congress,"Animation, Drama, Sci-Fi",122,6.5,2013
Bamse och tjuvstaden,"Animation, Family",66,6.1,2014
Salam and the Golden Queen,"Animation, Family",72,5.2,1999
Chronopolis,"Animation, Family, Fantasy",52,6.9,1982
The Monster of Highgate Ponds,"Animation, Family, Fantasy",59,6.2,1961
Cinderella,"Animation, Family, Fantasy",74,7.3,1950
A Troll in Central Park,"Animation, Family, Fantasy",76,5.3,1994
Gallavants,"Animation, Family, Fantasy",100,7.1,1984
Rout City,"Animation, Horror",71,2.4,2002
Space Adventure Cobra,"Animation, Sci-Fi",99,7.5,1982
Kai doh maru,"Animation, Short",45,5,2001
Tigre og tatoveringer,"Animation, Short, Adventure",42,7.1,2010
Sabogal,"Animation, Thriller",106,4.8,2015
Stan,Biography,59,7.7,2006
Der Raketenmann Wernher von Braun,Biography,89,7,2009
Queen of Media,Biography,147,6.4,2011
Wittgenstein,"Biography, Comedy, Drama",72,6.8,1993
It's All Gone Pete Tong,"Biography, Comedy, Drama",90,7.4,2004
Caro diario,"Biography, Comedy, Drama",100,7.3,1993
Carbine Williams,"Biography, Crime, Drama",92,7,1952
The Robber,"Biography, Crime, Drama",101,6.8,2010
Kill the Messenger,"Biography, Crime, Drama",112,7,2014
Get Rich or Die Tryin',"Biography, Crime, Drama",117,4.9,2005
J. Edgar,"Biography, Crime, Drama",137,6.6,2011
Catch Me If You Can,"Biography, Crime, Drama",141,8,2002
The Iron Curtain,"Biography, Crime, History",87,6.4,1948
Wojaczek,"Biography, Drama",90,7.1,1999
White Lightnin',"Biography, Drama",92,7,2009
The Great Glinka,"Biography, Drama",100,7.5,1946
The First Grader,"Biography, Drama",103,7.4,2010
Lenny,"Biography, Drama",111,7.6,1974
Zohar,"Biography, Drama",116,6.3,1993
Amorosa,"Biography, Drama",117,6.1,1986
Bogowie,"Biography, Drama",120,7.8,2014
James Dean,"Biography, Drama",120,7.4,2001
Lacenaire,"Biography, Drama",120,6.6,1990
A Dream Is a Wish Your Heart Makes: The Annette Funicello Story,"Biography, Drama",120,7.4,1995
Brigham,"Biography, Drama",132,5,1977
Lee Daniels' The Butler,"Biography, Drama",132,7.1,2013
Zerkala,"Biography, Drama, Family",130,5.9,2013
The Man Who Saw Tomorrow,"Biography, Drama, History",90,6,1981
Hans Staden,"Biography, Drama, History",92,6.7,1999
The Story of Alexander Graham Bell,"Biography, Drama, History",98,7.1,1939
China Cry: A True Story,"Biography, Drama, History",101,7.1,1990
The Runaways,"Biography, Drama, History",106,6.6,2010
Hitler: The Last Ten Days,"Biography, Drama, History",108,6.8,1973
Marie Antoinette,"Biography, Drama, History",123,6.4,2006
The Last King of Scotland,"Biography, Drama, History",123,7.7,2006
Milk,"Biography, Drama, History",128,7.6,2008
"Mary, Queen of Scots","Biography, Drama, History",128,7.4,1971
The Life Story of David Lloyd George,"Biography, Drama, History",152,6.7,1918
Gandhi,"Biography, Drama, History",191,8.1,1982
Open Water,"Biography, Drama, Horror",79,5.7,2003
El cantante,"Biography, Drama, Music",106,5.3,2006
Puccini,"Biography, Drama, Music",119,6.6,1953
Coal Miner's Daughter,"Biography, Drama, Music",124,7.5,1980
Jersey Boys,"Biography, Drama, Music",134,6.9,2014
Elvis,"Biography, Drama, Music",173,7.4,2005
Elisabeth,"Biography, Drama, Musical",140,8.7,2005
Art for Teachers of Children,"Biography, Drama, Romance",82,6.1,1995
The Stratton Story,"Biography, Drama, Romance",106,7.1,1949
Maurie,"Biography, Drama, Sport",113,7.4,1973
The Wings of Eagles,"Biography, Drama, War",110,6.8,1957
Reach for the Sky,"Biography, Drama, War",123,7.2,1956
Il falso bugiardo,"Biography, History",78,6.9,2008
"Hit Em Hard, the Story of Zaina Juliette","Biography, Music",76,8.1,2014
"Hit Em Hard, the Story of Zaina Juliette","Biography, Music",76,8.1,2014
Milosc ci wszystko wybaczy,"Biography, Musical",108,5.5,1981
Buffalo Bill,"Biography, Western",90,6.5,1944
Buffalo Bill,"Biography, Western",90,6.5,1944
"The Jerky Boys: Don't Hang Up, Toughguy!",Comedy,45,7.2,1995
Fellowship,Comedy,48,8.1,2005
Bloody Lip,Comedy,52,7.6,2012
Scanty doll: nugitate no kaori,Comedy,55,6.2,1984
Elevator Girls in Bondage,Comedy,56,4.3,1972
Fleetwood,Comedy,57,6.9,2006
Yankee Doodle in Berlin,Comedy,58,6.8,1919
Seigi no tatsujin: Nyotai tsubo saguri,Comedy,59,4.8,2000
John Smith,Comedy,60,6.9,1922
Only in America,Comedy,60,6.3,1994
Bachelor Daddy,Comedy,61,5.4,1941
Los presidiarios,Comedy,62,6.9,1931
Six of a Kind,Comedy,62,6.9,1934
Chafed Elbows,Comedy,63,6.6,1966
"Aries Spears: Hollywood, Look I'm Smiling",Comedy,64,6.9,2011
"Aries Spears: Hollywood, Look I'm Smiling",Comedy,64,6.9,2011
Beware of Blondie,Comedy,64,6.3,1950
Many Happy Returns,Comedy,64,6.3,1934
Fluff,Comedy,65,4.6,2003
"Julchen und Jettchen, die verliebten Apothekerstí_chter",Comedy,65,5.6,1982
Million Dollar Kid,Comedy,65,7.2,1944
A-Haunting We Will Go,Comedy,68,6.4,1942
Erotica,Comedy,68,4.5,1961
The Extra Girl,Comedy,68,7.8,1923
Life with Blondie,Comedy,69,7,1945
Oddly Coupled,Comedy,69,4.5,1970
The Night Bird,Comedy,70,5.2,1928
Lillo e Greg - The movie!,Comedy,71,6.8,2007
Saturday,Comedy,72,6.1,2001
The Man Who Lost Himself,Comedy,72,6,1941
A Political Party,Comedy,73,4.6,1934
La serpiente de cascabel,Comedy,73,6.8,1948
Blondie Goes to College,Comedy,74,6.6,1942
Partners in Time,Comedy,74,8.3,1946
Private Relations,Comedy,75,5,1968
Tracy,Comedy,75,7.2,2009
"Baí±eros II, la playa loca",Comedy,76,6.5,1989
If I Were Dictator,Comedy,76,4.1,2008
Sem nyanek,Comedy,76,7,1962
Wild on the Beach,Comedy,77,3.9,1965
Room Service,Comedy,78,6.8,1938
The Hoodlum,Comedy,78,7,1919
Der Reserveheld,Comedy,79,6,1965
The Goose Steps Out,Comedy,79,6.8,1942
Fun at St. Fanny's,Comedy,80,4.9,1956
Liebesjagd durch 7 Betten,Comedy,80,5.8,1973
One Way Wahine,Comedy,80,4.3,1965
Reckless Kelly,Comedy,80,5.1,1993
Who Killed Johnny,Comedy,80,6.3,2013
Deb and Sisi,Comedy,81,6.3,2008
Dreaming Out Loud,Comedy,81,6.6,1940
Bananas,Comedy,82,7.1,1971
Beer,Comedy,82,5,1985
La taqueria,Comedy,82,6.3,2003
Les joyeux lurons,Comedy,82,3.1,1972
Porno de autor,Comedy,82,4.4,2010
The Battle of Love's Return,Comedy,82,4.6,1971
White Cop,Comedy,82,7.7,2014
Wild Girl Waltz,Comedy,82,7.3,2012
Higher Ed,Comedy,83,5.7,2001
Nasaan si Francis?,Comedy,83,4.6,2006
Nina Frisk,Comedy,83,5,2007
"Slunce, seno, jahody",Comedy,83,7.1,1984
The Mouse That Roared,Comedy,83,7,1959
The Rosebud Beach Hotel,Comedy,83,4.2,1984
To tempeloskylo,Comedy,83,5.5,1963
A Little Bit of Soul,Comedy,84,5.8,1998
Italia-Germania 4-3,Comedy,84,6.5,1990
Skraphandlerne,Comedy,84,6.3,1975
The Closet,Comedy,84,7.1,2001
A Woman of Distinction,Comedy,85,6.7,1950
Jean de la Lune,Comedy,85,5.5,1931
Our Miss Brooks,Comedy,85,6.6,1956
The Newest Pledge,Comedy,85,4.6,2012
"Andalousie, mon amour!",Comedy,86,5.5,2012
Blue Murder at St. Trinian's,Comedy,86,6.6,1957
Cinematic Titanic: War of the Insects,Comedy,86,6.6,2011
Extreme Movie,Comedy,86,3.8,2008
Ladri di barzellette,Comedy,86,4.9,2004
Loaner,Comedy,86,6.8,2009
Mantrap,Comedy,86,7.2,1926
Nerd of the Living Dead,Comedy,86,3.5,2011
"Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad",Comedy,86,5,1967
"Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad",Comedy,86,5,1967
Polyester,Comedy,86,7,1981
Serial,Comedy,86,6.7,1980
The Christmas Party,Comedy,86,3.8,2009
Who Do I Gotta Kill?,Comedy,86,4.3,1994
Bikini Summer,Comedy,87,3.7,1991
Desnuda en la arena,Comedy,87,6.1,1969
Erkan & Stefan,Comedy,87,5,2000
Mikosch im Geheimdienst,Comedy,87,4.9,1959
J'invente rien,Comedy,87,5.7,2006
Jupiter Landing,Comedy,87,6.7,2005
La venganza de Don Mendo,Comedy,87,7.1,1962
Mimi og madammerne,Comedy,87,3.7,1998
Nuit d'ivresse,Comedy,87,5.8,1986
Perfect Timing,Comedy,87,6.1,1986
Poprask na silnici E 4,Comedy,87,3.5,1980
Pudsey the Dog: The Movie,Comedy,87,2.2,2014
The Candy Flip,Comedy,87,7.3,2011
Up in the World,Comedy,87,6.5,1956
Agenty KGB tozhe vlyublyayutsya,Comedy,88,5.1,1991
Alman avrat 40 bin mark,Comedy,88,6,1988
Polizei,Comedy,88,6.8,1988
Coffee Shop Kings,Comedy,89,7.6,2008
Craptastic,Comedy,89,3.6,2008
"Car 54, Where Are You?",Comedy,89,2.4,1994
Moving,Comedy,89,6.1,1988
Yin zuo xi chun,Comedy,89,5.1,1991
Bacalhau,Comedy,90,5.3,1975
Bao gao ban zhang 3,Comedy,90,5.6,1994
Berliner Bettwurst,Comedy,90,5.7,1975
Big Story in a Small City,Comedy,90,6.6,2006
"C'est pas moi, c'est l'autre",Comedy,90,5.8,2004
"C'est pas moi, c'est l'autre",Comedy,90,5.8,2004
Cinco tenedores,Comedy,90,5.2,1979
Como perros y gatos,Comedy,90,5.9,1969
Dokud mas maminku,Comedy,90,4.3,1934
El carro,Comedy,90,6,2003
Finnischer Tango,Comedy,90,6.4,2008
Growing Up and Other Lies,Comedy,90,4.7,2014
Happy Family,Comedy,90,6.7,2010
High School Ripped Me a New One,Comedy,90,5,2005
Juegos de alcoba,Comedy,90,5.6,1971
La folie douce,Comedy,90,4.8,1994
Late Bloomers,Comedy,90,7.2,2006
Leden syn,Comedy,90,7.5,2005
Los vampiros los prefieren gorditos,Comedy,90,4.5,1974
Luz - Cama - Accion,Comedy,90,5.6,1982
Me ha gustado un hombre,Comedy,90,5.7,1965
Miami Models,Comedy,90,3.5,1994
Nich' mit Leo,Comedy,90,4.3,1995
O ouranokatevatos,Comedy,90,6.2,1965
"Oh, Men! Oh, Women!",Comedy,90,5.3,1957
Perfect Rivals,Comedy,90,4.1,2011
Piratensender Power Play,Comedy,90,4.9,1982
Practically Yours,Comedy,90,6.5,1944
Sac de noeuds,Comedy,90,5.3,1985
Send in the Clown,Comedy,90,7.8,2006
Shadey,Comedy,90,4.5,1985
The Alf Garnett Saga,Comedy,90,5.2,1972
The Sport of Kings,Comedy,90,4.8,1931
Upstaged,Comedy,90,7.5,2005
"Waschen, schneiden, legen",Comedy,90,4,1999
"Waschen, schneiden, legen",Comedy,90,4,1999
"Waschen, schneiden, legen",Comedy,90,4,1999
A Catastrophe of Men,Comedy,91,7.6,2005
Hijacking Hollywood,Comedy,91,5.2,1997
L'appuntamento,Comedy,91,4.5,1977
Sekula se opet zeni,Comedy,91,5.4,1991
Authors Anonymous,Comedy,92,4.4,2014
Didi auf vollen Touren,Comedy,92,5.4,1986
Fluffy,Comedy,92,6.3,1965
History of the World: Part I,Comedy,92,6.9,1981
Romy and Michele's High School Reunion,Comedy,92,6.1,1997
Mitsou ou Comment l'esprit vient aux filles...,Comedy,92,5.3,1956
Much Too Shy,Comedy,92,6.3,1942
Simpatici & antipatici,Comedy,92,3.8,1998
Supernatural Activity,Comedy,92,2.9,2012
Tian guan ci fu,Comedy,92,6.9,1985
Una vacanza bestiale,Comedy,92,5.4,1981
Backfire!,Comedy,93,2.5,1995
Betty I Am,Comedy,93,8.5,2012
Beyond Therapy,Comedy,93,4.6,1987
Gettin' It,Comedy,93,3.5,2006
High Strung,Comedy,93,7,1991
Hometown U.S.A.,Comedy,93,4.9,1979
How to Be a Player,Comedy,93,5.2,1997
It's Rocking: Dard-E-Disco,Comedy,93,4.4,2012
K.O.,Comedy,93,8.1,1968
No Soliciting,Comedy,93,7.3,2013
The Lunatic,Comedy,93,6.3,1991
Xinji chi buliao re doufu,Comedy,93,6.5,2005
Yi ben man hua chuang tian ya II miao xiang tian kai,Comedy,93,5.6,1993
Carry on Doctor,Comedy,94,6.4,1967
Finding Lenny,Comedy,94,5.8,2009
Il voto,Comedy,94,5.7,1950
In the Spirit,Comedy,94,4.9,1990
Maz swojej zony,Comedy,94,6.9,1961
Waiting...,Comedy,94,6.8,2005
Wenn man baden geht auf Teneriffa,Comedy,94,4.5,1964
Candinho,Comedy,95,6.4,1954
Crazy Eyes,Comedy,95,3.9,2012
France Boutique,Comedy,95,5.2,2003
Italiani a Rio,Comedy,95,5.1,1987
Nikto ne znaet pro seks,Comedy,95,4,2006
Rock 'n' Roll High School Forever,Comedy,95,4.7,1991
Sternberg - Shooting Star,Comedy,95,6.8,1988
Un orso chiamato Arturo,Comedy,95,5.2,1992
Byc jak Kazimierz Deyna,Comedy,96,5.8,2012
Cow-Boy,Comedy,96,5.9,2007
Gorko! 2,Comedy,96,4.2,2014
Hooch,Comedy,96,6.2,1977
Il generale dorme in piedi,Comedy,96,6.2,1972
Jamais deux sans trois,Comedy,96,4.8,1951
Mad Buddies,Comedy,96,3.9,2012
Polvo eres...,Comedy,96,5.3,1974
"Zdravstvuyte, my vasha krysha",Comedy,96,6.3,2006
"Zdravstvuyte, my vasha krysha",Comedy,96,6.3,2006
All the Way Up,Comedy,97,5.5,1970
Bikinisesongen,Comedy,97,4.4,1994
Calmos,Comedy,97,6.6,1976
Don't Make Waves,Comedy,97,6.1,1967
New Waterford Girl,Comedy,97,7.1,1999
"Oh Jonathan, oh Jonathan!",Comedy,97,5.7,1973
"Oh Jonathan, oh Jonathan!",Comedy,97,5.7,1973
Weekend at Bernie's II,Comedy,97,4.5,1993
After You're Gone,Comedy,98,6,2009
Ex - Amici come prima!,Comedy,98,5.4,2011
I Love My Wife,Comedy,98,4.7,1970
My Life as a Bus Stop,Comedy,98,5.8,2007
Scout toujours...,Comedy,98,5.4,1985
The Gumshoe Kid,Comedy,98,5.2,1990
Another Gay Sequel: Gays Gone Wild!,Comedy,99,3.9,2008
"Belyy mavr, ili Intimnye istorii o moikh sosedyakh",Comedy,99,3.9,2012
"Belyy mavr, ili Intimnye istorii o moikh sosedyakh",Comedy,99,3.9,2012
Chut doi seung giu,Comedy,99,4.8,2008
Keep on Running,Comedy,99,3.3,1991
La belle verte,Comedy,99,7.1,1996
Real Life,Comedy,99,7.2,1979
Sexo com Amor?,Comedy,99,4.6,2008
The Garden,Comedy,99,8,1995
Asphalt Tango,Comedy,100,8,1996
Biskoppen,Comedy,100,7.2,1944
Condominio,Comedy,100,6.6,1991
Find the Lady,Comedy,100,3.9,1976
Fontan,Comedy,100,7.3,1989
Louco Por Cinema,Comedy,100,5.5,1994
Lyubov-Morkov,Comedy,100,5.4,2007
Ma tante Aline,Comedy,100,5.4,2007
Notte prima degli esami,Comedy,100,6.4,2006
Realnyy papa,Comedy,100,4.8,2008
Russendisko,Comedy,100,5.5,2012
Schneider Wibbel,Comedy,100,8.2,1959
Siamo tutti pomicioni,Comedy,100,4.6,1963
Estet,Comedy,101,6.1,2010
Noises Off...,Comedy,101,7.5,1992
Poltron,Comedy,101,7.2,1989
Roter Mohn,Comedy,101,6,1956
Akropolis Now,Comedy,103,8,1983
An Everlasting Piece,Comedy,103,6.3,2000
Che notte ragazzi!,Comedy,103,4,1966
Meine polnische Jungfrau,Comedy,103,2.7,2001
Rock-a-Bye Baby,Comedy,103,6.8,1958
Zware jongens,Comedy,104,5.9,1984
Zware jongens,Comedy,104,5.9,1984
Kummeli Alivuokralainen,Comedy,104,4.4,2008
Lou! Journal infime,Comedy,104,5.7,2014
Balkanska perestrojka,Comedy,105,7.5,1990
I Hope They Serve Beer in Hell,Comedy,105,5.3,2009
Kung Fu Contra as Bonecas,Comedy,105,4.4,1975
Tup-akka-lakko,Comedy,105,5.1,1980
Amore e ginnastica,Comedy,106,8.3,1973
Il bambino e il poliziotto,Comedy,106,5.3,1989
Kamisama wa Bali ni iru,Comedy,106,6.1,2014
Mission London,Comedy,107,7.5,2010
Twins,Comedy,107,6,1988
Welcome Stranger,Comedy,107,6.7,1947
White Girl Young Pretty,Comedy,107,5.9,2004
Men Without Jobs,Comedy,108,5.7,2004
Slalom,Comedy,108,6.7,1965
Hooperz,Comedy,109,5.8,2010
La dame de chez Maxim's,Comedy,109,3.8,1933
Breathful,Comedy,110,7.9,2007
Cholo Comedy Slam: Stand Up and Lean Back,Comedy,110,5.4,2010
Il secondo tragico Fantozzi,Comedy,110,7.8,1976
Framing Frankie,Comedy,110,5.7,2005
La suerte en tus manos,Comedy,110,5.6,2012
Roba da ricchi,Comedy,110,4.7,1987
Living It Up,Comedy,112,6.2,2000
Poker,Comedy,112,5.8,2010
"Saneamento Bíçsico, O Filme",Comedy,112,7.3,2007
Il burbero,Comedy,113,6.3,1986
"Amore, bugie & calcetto",Comedy,115,6.6,2008
Jardins en automne,Comedy,115,6.4,2006
Noi e la Giulia,Comedy,115,6.7,2015
Ted 2,Comedy,115,6.6,2015
Sing Sing,Comedy,117,5.9,1983
El patrullero 777,Comedy,120,6.4,1978
The Crooked Mile,Comedy,120,5.4,2001
Nadakame Ulakam,Comedy,127,3.7,2011
Le grand carnaval,Comedy,130,5.3,1983
Leinen aus Irland,Comedy,130,5.7,1965
I Am Somebody,Comedy,134,6.8,2015
Kanna Laddu Thinna Aasaiya,Comedy,135,5.6,2013
Le bourgeois gentilhomme,Comedy,135,5.2,1982
Mr Ya Miss,Comedy,136,3.7,2005
Kuch Khatta Kuch Meetha,Comedy,140,4,2007
Aambala,Comedy,146,4,2015
A Madea Christmas,Comedy,152,4.1,2011
Bahumathi,Comedy,194,3.8,2007
Samara-gorodok,Comedy,208,5.7,2004
Planet of the Pitts,"Comedy, Action",112,3.2,2004
Mulheres Taradas Por Animais,"Comedy, Adult",90,4.9,1989
A Slight Case of Larceny,"Comedy, Crime",71,6.2,1953
Traveling Husbands,"Comedy, Crime",73,6.1,1931
Teenage Hitchhikers,"Comedy, Crime",74,5.7,1975
Police Academy 6: City Under Siege,"Comedy, Crime",84,4,1989
Welcome to Collinwood,"Comedy, Crime",86,6.4,2002
Cupido contrabandista,"Comedy, Crime",88,4.8,1962
Plus de whisky pour Callaghan!,"Comedy, Crime",89,3.8,1955
Cao inspektore,"Comedy, Crime",90,6.4,1985
Malcolm,"Comedy, Crime",90,7.2,1986
Holy Matrimony,"Comedy, Crime",93,5,1994
Cookie,"Comedy, Crime",94,5.2,1989
Dve strely. Detektiv kamennogo veka,"Comedy, Crime",94,5.5,1989
Medium Rare,"Comedy, Crime",95,5.5,1987
Pete Smalls Is Dead,"Comedy, Crime",95,5,2010
Black story (La historia negra de Peter P. Peter),"Comedy, Crime",96,5.5,1971
Super,"Comedy, Crime",96,6.8,2010
Bullets Over Broadway,"Comedy, Crime",98,7.5,1994
Schneeschuhbanditen,"Comedy, Crime",98,6.9,1928
Wise Guys,"Comedy, Crime",100,5.5,1986
Duffy,"Comedy, Crime",101,5.9,1968
Clay Pigeons,"Comedy, Crime",104,6.6,1998
"Scotland, Pa.","Comedy, Crime",104,6.8,2001
Le parfum de la dame en noir,"Comedy, Crime",115,5.7,2005
The Fall Guys,"Comedy, Crime",115,7.9,2011
The Big Lebowski,"Comedy, Crime",117,8.2,1998
Cheap Thrills,"Comedy, Crime, Drama",88,6.8,2013
El ratero de la vecindad II,"Comedy, Crime, Drama",90,5.5,1985
Small Apartments,"Comedy, Crime, Drama",96,6.1,2012
Look,"Comedy, Crime, Drama",98,6.6,2007
Money for Nothing,"Comedy, Crime, Drama",100,5.7,1993
Bernie,"Comedy, Crime, Drama",104,6.8,2011
The Brink's Job,"Comedy, Crime, Drama",104,6.5,1978
Focus,"Comedy, Crime, Drama",105,6.6,2015
Darwaza Bandh Rakho,"Comedy, Crime, Drama",106,5.1,2006
Umarmungen und andere Sachen,"Comedy, Crime, Drama",106,4.6,1975
The Sting,"Comedy, Crime, Drama",129,8.4,1973
Ghosts Can't Do It,"Comedy, Crime, Fantasy",90,2.2,1989
Littleman,"Comedy, Crime, Fantasy",98,4.2,2006
Remains to Be Seen,"Comedy, Crime, Music",88,6.3,1953
College Scandal,"Comedy, Crime, Musical",76,6.2,1935
Made in U.S.A,"Comedy, Crime, Mystery",90,6.5,1966
The Nude Bomb,"Comedy, Crime, Mystery",94,5,1980
Kiss Kiss Bang Bang,"Comedy, Crime, Mystery",103,7.6,2005
The Silken Affair,"Comedy, Crime, Romance",96,5.2,1956
Die Christel von der Post,"Comedy, Crime, Romance",103,4.7,1956
Lucky Break,"Comedy, Crime, Romance",108,6.2,2001
RRRrrrr!!!,"Comedy, Crime, Sci-Fi",94,5.7,2004
Big Nothing,"Comedy, Crime, Thriller",86,6.8,2006
Hollywood Harry,"Comedy, Crime, Thriller",98,4.6,1986
Hombre mirando al oeste,"Comedy, Crime, Western",65,7.6,2005
The Big Parade of Comedy,"Comedy, Documentary",90,4.9,1964
When the Boys Walk In,"Comedy, Drama",50,7.1,2014
The Social Secretary,"Comedy, Drama",52,6.8,1916
"Sally, Irene and Mary","Comedy, Drama",58,3.6,1925
Creative Nonfiction,"Comedy, Drama",60,5,2009
Mob Town,"Comedy, Drama",60,6.1,1941
The Rush Hour,"Comedy, Drama",60,7.8,1928
Big City Blues,"Comedy, Drama",63,6.2,1932
Poka noch ne razluchit,"Comedy, Drama",63,5.9,2012
Burta balenei,"Comedy, Drama",64,4.8,2010
Military Academy with That Tenth Avenue Gang,"Comedy, Drama",64,6.9,1950
Ex-Lady,"Comedy, Drama",67,7,1933
Blonde Fever,"Comedy, Drama",69,5.6,1944
Bad Batch,"Comedy, Drama",70,6.4,2010
Split Gas,"Comedy, Drama",71,5.6,2014
Webcam,"Comedy, Drama",71,4.5,2011
A Circle on the Cross,"Comedy, Drama",72,5,2008
Love Bus: cinci povesti de dragoste din Bucuresti,"Comedy, Drama",73,5.8,2014
Bums,"Comedy, Drama",75,7.2,2006
Urok literatury,"Comedy, Drama",75,7.1,1968
Yoksul,"Comedy, Drama",77,7.3,1986
Soft Gun.,"Comedy, Drama",78,6.6,2012
Start Options Exit,"Comedy, Drama",78,7.9,2014
Ravioli,"Comedy, Drama",79,6.4,2003
Tanya,"Comedy, Drama",79,5.2,1976
California Straight Ahead,"Comedy, Drama",80,6,1925
Die Hallo-Sisters,"Comedy, Drama",82,4.2,1990
Judy's Dead,"Comedy, Drama",82,7.8,2012
Le viol d'une jeune fille douce,"Comedy, Drama",82,5.9,1968
PrimeMates,"Comedy, Drama",82,7.2,2010
The Show Off,"Comedy, Drama",82,6.9,1926
Leve sitt liv,"Comedy, Drama",83,4.4,1982
Something Money Can't Buy,"Comedy, Drama",83,5.5,1952
The Putt Putt Syndrome,"Comedy, Drama",83,7.2,2010
